paper_trade_id,leg_count
ase_pt_4bc71f3c83f84bc1,4
ase_pt_4be2cf80d3624f25,2
ase_pt_4c06105a01794947,2
ase_pt_4d0273c3681a4f01,1
ase_pt_4d4e18373bcb40ef,1
ase_pt_4ddf72645e174fe1,2
ase_pt_4e005621b9684abd,3
ase_pt_4e16f998994a497a,4
ase_pt_4e6c3823a6db41fb,1
ase_pt_4ed0eedc2d0047dd,4
ase_pt_4ee635f1de7648c7,2
ase_pt_4eee96fe9fd74603,2
ase_pt_4ef17b0e1c6546f6,2
ase_pt_4fd217eb3a5a4a32,4
ase_pt_5060831c6ba74a92,4
ase_pt_50cee139dd5f4d1b,2
ase_pt_51aca08bd0af4f10,2
ase_pt_51e1bd8493af4532,2
ase_pt_5208c296a9d047a4,4
ase_pt_52a1199441b842c2,4
ase_pt_52d55444d36747a0,4
ase_pt_52db46c029b748f6,2
ase_pt_52ee7c4cf21442b2,2
ase_pt_532c902bfb4748ee,4
ase_pt_53fd94a5236f4933,2
ase_pt_5451fd35cf2d40c9,2
ase_pt_549092c247454f84,2
ase_pt_5512d71f7e0c419d,5
ase_pt_5531bb51b3f046e0,4
ase_pt_556516fdaa6346da,2
ase_pt_559d9e7244b542ea,3
ase_pt_55f2879c9c234ae8,2
ase_pt_56d2d5d48d5b4236,3
ase_pt_56e7f9a96a7e4464,2
ase_pt_56ec12c833d3410d,2
ase_pt_57079b3931a14d23,4
ase_pt_5777f328ee784956,1
ase_pt_57db029c27af45e3,4
ase_pt_57dc0fe985a24f4f,2
ase_pt_583071390312407f,2
ase_pt_5838a244a64d48a7,2
ase_pt_5949f93a17d240ae,3
ase_pt_5a58675379e94007,8
ase_pt_5a6ff0d6be8e48cc,2
ase_pt_5ad3da4131714e30,3
ase_pt_5b1ade8a47a2427c,3
ase_pt_5b47757a95a44adf,2
ase_pt_5b48b5fc0a3f40de,8
ase_pt_5b867797cbbb4df8,2
ase_pt_5bab2972c84849cd,3
ase_pt_5cd9914d28294eaa,1
ase_pt_5d0d01f3280c46b1,2
ase_pt_5d288026450343df,4
ase_pt_5d475d0436df49e3,2
ase_pt_5dc715014dd84a43,4
ase_pt_5dd2701e8ad6448e,2
ase_pt_5df56406e676421f,3
ase_pt_5e1802c0f78045cb,2
ase_pt_5e49d8edae1c4bb5,2
ase_pt_5e8f0d60fbd54fb2,2
ase_pt_5f73e4e368ee4c19,2
ase_pt_5f8707ca4cb44569,3
ase_pt_6083b99595c94b37,2
ase_pt_61163c0323cd45fc,2
ase_pt_6117d75ace464771,3
ase_pt_61d345b280ce4300,3
ase_pt_61db83e800514e09,3
ase_pt_6238c50e54c64833,4
ase_pt_626ffd58b34e45ec,2
ase_pt_630c5bfba91c45a1,4
ase_pt_63167d95b92d46a9,3
ase_pt_63310aeadd5649cd,3
ase_pt_6380627d787b417b,4
ase_pt_63b79671045a4aa2,2
ase_pt_6474cf69996b4496,2
ase_pt_64cba35090f74aaf,4
