id,paper_trade_id,mid_status,delta_status,ratio_status
140,ase_pt_38c8440699ab4e45,NOT NULL,NOT NULL,NOT NULL
141,ase_pt_38c8440699ab4e45,NOT NULL,NOT NULL,NOT NULL
142,ase_pt_36741c707c0f4b62,NOT NULL,NOT NULL,NOT NULL
143,ase_pt_36741c707c0f4b62,NOT NULL,NOT NULL,NOT NULL
144,ase_pt_bf38b5588ca045ca,NOT NULL,NOT NULL,NOT NULL
145,ase_pt_bf38b5588ca045ca,NOT NULL,NOT NULL,NOT NULL
146,ase_pt_40905bcdfaae4348,NOT NULL,NOT NULL,NOT NULL
147,ase_pt_40905bcdfaae4348,NOT NULL,NOT NULL,NOT NULL
148,ase_pt_1f5c6dbfe19748df,NOT NULL,NOT NULL,NOT NULL
149,ase_pt_1f5c6dbfe19748df,NOT NULL,NOT NULL,NOT NULL
150,ase_pt_1aeab363df7b46d9,NOT NULL,NOT NULL,NOT NULL
151,ase_pt_1aeab363df7b46d9,NOT NULL,NOT NULL,NOT NULL
152,ase_pt_3a64d9fcbff1414d,NOT NULL,NOT NULL,NOT NULL
153,ase_pt_3a64d9fcbff1414d,NOT NULL,NOT NULL,NOT NULL
154,ase_pt_01fef25551624710,NOT NULL,NOT NULL,NOT NULL
155,ase_pt_01fef25551624710,NOT NULL,NOT NULL,NOT NULL
156,ase_pt_9f12756001424bb1,NOT NULL,NOT NULL,NOT NULL
157,ase_pt_9f12756001424bb1,NOT NULL,NOT NULL,NOT NULL
158,ase_pt_b31a4d1261f343e9,NOT NULL,NOT NULL,NOT NULL
159,ase_pt_b31a4d1261f343e9,NOT NULL,NOT NULL,NOT NULL
160,ase_pt_b31a4d1261f343e9,NOT NULL,NOT NULL,NOT NULL
161,ase_pt_b31a4d1261f343e9,NOT NULL,NOT NULL,NOT NULL
162,ase_pt_2b6fcc40f3494051,NOT NULL,NOT NULL,NOT NULL
163,ase_pt_2b6fcc40f3494051,NOT NULL,NOT NULL,NOT NULL
164,ase_pt_2b6fcc40f3494051,NOT NULL,NOT NULL,NOT NULL
165,ase_pt_2b6fcc40f3494051,NOT NULL,NOT NULL,NOT NULL
166,ase_pt_99cb0be7029b4a82,NOT NULL,NOT NULL,NOT NULL
167,ase_pt_99cb0be7029b4a82,NOT NULL,NOT NULL,NOT NULL
168,ase_pt_922c42b2e24d4fb5,NOT NULL,NOT NULL,NOT NULL
169,ase_pt_922c42b2e24d4fb5,NOT NULL,NOT NULL,NOT NULL
170,ase_pt_30c9f7f099f04656,NOT NULL,NOT NULL,NOT NULL
171,ase_pt_30c9f7f099f04656,NOT NULL,NOT NULL,NOT NULL
172,ase_pt_e1b81c458fdd4e71,NOT NULL,NOT NULL,NOT NULL
173,ase_pt_e1b81c458fdd4e71,NOT NULL,NOT NULL,NOT NULL
174,ase_pt_76bbcd4f1f4f4321,NOT NULL,NOT NULL,NOT NULL
175,ase_pt_76bbcd4f1f4f4321,NOT NULL,NOT NULL,NOT NULL
176,ase_pt_76bbcd4f1f4f4321,NOT NULL,NOT NULL,NOT NULL
177,ase_pt_76bbcd4f1f4f4321,NOT NULL,NOT NULL,NOT NULL
178,ase_pt_348d05419ab448e7,NOT NULL,NOT NULL,NOT NULL
179,ase_pt_348d05419ab448e7,NOT NULL,NOT NULL,NOT NULL
180,ase_pt_583071390312407f,NOT NULL,NOT NULL,NOT NULL
181,ase_pt_583071390312407f,NOT NULL,NOT NULL,NOT NULL
182,ase_pt_413893ee62984e99,NOT NULL,NOT NULL,NOT NULL
183,ase_pt_413893ee62984e99,NOT NULL,NOT NULL,NOT NULL
184,ase_pt_e11d456d41a84455,NOT NULL,NOT NULL,NOT NULL
185,ase_pt_e11d456d41a84455,NOT NULL,NOT NULL,NOT NULL
186,ase_pt_d76fb2bccf7b4907,NOT NULL,NOT NULL,NOT NULL
187,ase_pt_d76fb2bccf7b4907,NOT NULL,NOT NULL,NOT NULL
188,ase_pt_1cdfe82457184b5e,NOT NULL,NOT NULL,NOT NULL
189,ase_pt_1cdfe82457184b5e,NOT NULL,NOT NULL,NOT NULL
190,ase_pt_25965cdfc2b84bb7,NOT NULL,NOT NULL,NOT NULL
191,ase_pt_25965cdfc2b84bb7,NOT NULL,NOT NULL,NOT NULL
192,ase_pt_468a12d81bfa4bbe,NOT NULL,NOT NULL,NOT NULL
193,ase_pt_468a12d81bfa4bbe,NOT NULL,NOT NULL,NOT NULL
194,ase_pt_79e593a33bc8450e,NOT NULL,NOT NULL,NOT NULL
195,ase_pt_79e593a33bc8450e,NOT NULL,NOT NULL,NOT NULL
196,ase_pt_79e593a33bc8450e,NOT NULL,NOT NULL,NOT NULL
197,ase_pt_79e593a33bc8450e,NOT NULL,NOT NULL,NOT NULL
198,ase_pt_56ec12c833d3410d,NOT NULL,NOT NULL,NOT NULL
199,ase_pt_56ec12c833d3410d,NOT NULL,NOT NULL,NOT NULL
200,ase_pt_82ada73b5e58432a,NOT NULL,NOT NULL,NOT NULL
201,ase_pt_82ada73b5e58432a,NOT NULL,NOT NULL,NOT NULL
202,ase_pt_e24cb20825964481,NOT NULL,NOT NULL,NOT NULL
203,ase_pt_e24cb20825964481,NOT NULL,NOT NULL,NOT NULL
204,ase_pt_0696a7501e5a4b86,NOT NULL,NOT NULL,NOT NULL
205,ase_pt_0696a7501e5a4b86,NOT NULL,NOT NULL,NOT NULL
206,ase_pt_aa854a4440c0485e,NOT NULL,NOT NULL,NOT NULL
207,ase_pt_aa854a4440c0485e,NOT NULL,NOT NULL,NOT NULL
208,ase_pt_28ea289d06244a2c,NOT NULL,NOT NULL,NOT NULL
209,ase_pt_28ea289d06244a2c,NOT NULL,NOT NULL,NOT NULL
210,ase_pt_28ea289d06244a2c,NOT NULL,NOT NULL,NOT NULL
211,ase_pt_28ea289d06244a2c,NOT NULL,NOT NULL,NOT NULL
212,ase_pt_328f936a7b994ec1,NOT NULL,NOT NULL,NOT NULL
213,ase_pt_328f936a7b994ec1,NOT NULL,NOT NULL,NOT NULL
214,ase_pt_00a319c736ae4b1d,NOT NULL,NOT NULL,NOT NULL
215,ase_pt_00a319c736ae4b1d,NOT NULL,NOT NULL,NOT NULL
216,ase_pt_072a3bfdbe32476a,NOT NULL,NOT NULL,NOT NULL
217,ase_pt_072a3bfdbe32476a,NOT NULL,NOT NULL,NOT NULL
218,ase_pt_61163c0323cd45fc,NOT NULL,NOT NULL,NOT NULL
219,ase_pt_61163c0323cd45fc,NOT NULL,NOT NULL,NOT NULL
220,ase_pt_7a7c2d1c8e31410e,NOT NULL,NOT NULL,NOT NULL
221,ase_pt_7a7c2d1c8e31410e,NOT NULL,NOT NULL,NOT NULL
222,ase_pt_bce325b6dbd949b5,NOT NULL,NOT NULL,NOT NULL
223,ase_pt_bce325b6dbd949b5,NOT NULL,NOT NULL,NOT NULL
224,ase_pt_bce325b6dbd949b5,NOT NULL,NOT NULL,NOT NULL
