entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2025-11-17,2025-11-18,665.67,2025-12-12,1xO:SPY251212C00664000 | -2xO:SPY251212C00666000 | 1xO:SPY251212C00668000,-62.0,128.0,190.0,TP_200PCT,1,200,0.0,62.0,Narrow-Wing Butterfly
2025-11-24,2025-12-03,668.73,2025-12-19,31xO:SPY251219C00667000 | -62xO:SPY251219C00669000 | 31xO:SPY251219C00671000,496.0,2604.0,2108.0,TP_200PCT,31,200,0.0,496.0,Narrow-Wing Butterfly
2025-12-01,2025-12-02,680.27,2025-12-26,1xO:SPY251226C00678000 | -2xO:SPY251226C00680000 | 1xO:SPY251226C00682000,-7.0,49.0,56.0,TP_200PCT,1,200,0.0,7.0,Narrow-Wing Butterfly
2025-12-08,2025-12-10,683.63,2026-01-02,49xO:SPY260102C00682000 | -98xO:SPY260102C00684000 | 49xO:SPY260102C00686000,490.0,3724.0,3234.0,TP_200PCT,49,200,0.0,490.0,Narrow-Wing Butterfly
2025-12-15,2025-12-24,680.73,2026-01-09,22xO:SPY260109C00679000 | -44xO:SPY260109C00681000 | 22xO:SPY260109C00683000,484.0,2266.0,1782.0,TP_200PCT,22,200,0.0,484.0,Narrow-Wing Butterfly
2025-12-22,2026-01-02,684.83,2026-01-16,83xO:SPY260116C00683000 | -166xO:SPY260116C00685000 | 83xO:SPY260116C00687000,498.0,1660.0,1162.0,TP_200PCT,83,200,0.0,498.0,Narrow-Wing Butterfly
2025-12-29,2026-01-23,687.85,2026-01-23,20xO:SPY260123C00686000 | -40xO:SPY260123C00688000 | 20xO:SPY260123C00690000,500.0,2560.0,2060.0,TP_200PCT,20,200,0.0,500.0,Narrow-Wing Butterfly
2026-01-05,2026-01-21,687.72,2026-01-30,33xO:SPY260130C00686000 | -66xO:SPY260130C00688000 | 33xO:SPY260130C00690000,495.0,1815.0,1320.0,TP_200PCT,33,200,0.0,495.0,Narrow-Wing Butterfly
2026-01-12,2026-02-06,695.16,2026-02-06,16xO:SPY260206C00693000 | -32xO:SPY260206C00695000 | 16xO:SPY260206C00697000,480.0,0.0,-480.0,EXPIRY_FLATTEN,16,200,0.0,480.0,Narrow-Wing Butterfly
2026-01-20,2026-01-21,677.58,2026-02-13,1xO:SPY260213C00676000 | -2xO:SPY260213C00678000 | 1xO:SPY260213C00680000,-55.0,185.0,240.0,TP_200PCT,1,200,0.0,55.0,Narrow-Wing Butterfly
2026-01-26,2026-02-04,692.73,2026-02-20,62xO:SPY260220C00691000 | -124xO:SPY260220C00693000 | 62xO:SPY260220C00695000,496.0,13764.0,13268.0,TP_200PCT,62,200,0.0,496.0,Narrow-Wing Butterfly
2026-02-02,2026-02-11,695.41,2026-02-27,1xO:SPY260227C00693000 | -2xO:SPY260227C00695000 | 1xO:SPY260227C00697000,-47.0,59.0,106.0,TP_200PCT,1,200,0.0,47.0,Narrow-Wing Butterfly
2026-02-09,2026-02-24,693.95,2026-03-06,1xO:SPY260306C00692000 | -2xO:SPY260306C00694000 | 1xO:SPY260306C00696000,-20.0,28.0,48.0,TP_200PCT,1,200,0.0,20.0,Narrow-Wing Butterfly
2026-02-17,2026-03-13,682.85,2026-03-13,9xO:SPY260313C00681000 | -18xO:SPY260313C00683000 | 9xO:SPY260313C00685000,477.0,0.0,-477.0,EXPIRY_FLATTEN,9,200,0.0,477.0,Narrow-Wing Butterfly
2026-02-23,2026-02-24,682.39,2026-03-20,71xO:SPY260320C00680000 | -142xO:SPY260320C00682000 | 71xO:SPY260320C00684000,497.0,1917.0,1420.0,TP_200PCT,71,200,0.0,497.0,Narrow-Wing Butterfly
2026-03-02,2026-03-27,686.38,2026-03-27,8xO:SPY260327C00684000 | -16xO:SPY260327C00686000 | 8xO:SPY260327C00688000,448.0,0.0,-448.0,EXPIRY_FLATTEN,8,200,0.0,448.0,Narrow-Wing Butterfly
2026-03-16,2026-04-10,669.03,2026-04-10,4xO:SPY260410C00667000 | -8xO:SPY260410C00669000 | 4xO:SPY260410C00671000,472.0,100.0,-372.0,EXPIRY_FLATTEN,4,200,0.0,472.0,Narrow-Wing Butterfly
2026-03-23,2026-03-26,655.38,2026-04-17,10xO:SPY260417C00653000 | -20xO:SPY260417C00655000 | 10xO:SPY260417C00657000,460.0,1400.0,940.0,TP_200PCT,10,200,0.0,460.0,Narrow-Wing Butterfly
2026-03-30,2026-03-31,631.97,2026-04-24,500xO:SPY260424C00630000 | -1000xO:SPY260424C00632000 | 500xO:SPY260424C00634000,500.0,90000.0,89500.0,TP_200PCT,500,200,0.0,500.0,Narrow-Wing Butterfly
2026-04-06,2026-04-07,658.93,2026-05-01,1xO:SPY260501C00657000 | -2xO:SPY260501C00659000 | 1xO:SPY260501C00661000,-91.0,137.0,228.0,TP_200PCT,1,200,0.0,91.0,Narrow-Wing Butterfly
2026-04-13,2026-04-16,686.1,2026-05-08,1xO:SPY260508C00684000 | -2xO:SPY260508C00686000 | 1xO:SPY260508C00688000,-132.0,134.0,266.0,TP_200PCT,1,200,0.0,132.0,Narrow-Wing Butterfly
2026-04-20,2026-04-21,708.72,2026-05-15,1xO:SPY260515C00707000 | -2xO:SPY260515C00709000 | 1xO:SPY260515C00711000,-26.0,40.0,66.0,TP_200PCT,1,200,0.0,26.0,Narrow-Wing Butterfly
2026-04-27,2026-04-29,715.17,2026-05-22,11xO:SPY260522C00713000 | -22xO:SPY260522C00715000 | 11xO:SPY260522C00717000,473.0,1903.0,1430.0,TP_200PCT,11,200,0.0,473.0,Narrow-Wing Butterfly
2026-05-04,2026-05-18,718.01,2026-05-29,15xO:SPY260529C00716000 | -30xO:SPY260529C00718000 | 15xO:SPY260529C00720000,495.0,9450.0,8955.0,TP_200PCT,15,200,0.0,495.0,Narrow-Wing Butterfly
2026-05-11,2026-05-12,739.3,2026-06-05,83xO:SPY260605C00737000 | -166xO:SPY260605C00739000 | 83xO:SPY260605C00741000,498.0,9877.0,9379.0,TP_200PCT,83,200,0.0,498.0,Narrow-Wing Butterfly
2026-05-18,2026-05-19,738.65,2026-06-12,1xO:SPY260612C00737000 | -2xO:SPY260612C00739000 | 1xO:SPY260612C00741000,-7.0,50.0,57.0,TP_200PCT,1,200,0.0,7.0,Narrow-Wing Butterfly
2026-06-01,2026-06-02,758.54,2026-06-26,166xO:SPY260626C00757000 | -332xO:SPY260626C00759000 | 166xO:SPY260626C00761000,498.0,1826.0,1328.0,TP_200PCT,166,200,0.0,498.0,Narrow-Wing Butterfly
2026-06-15,2026-06-23,754.83,2026-07-10,1xO:SPY260710C00753000 | -2xO:SPY260710C00755000 | 1xO:SPY260710C00757000,-28.0,33.0,61.0,TP_200PCT,1,200,0.0,28.0,Narrow-Wing Butterfly
2026-06-22,2026-06-23,744.39,2026-07-17,1xO:SPY260717C00742000 | -2xO:SPY260717C00744000 | 1xO:SPY260717C00746000,-10.0,99.0,109.0,TP_200PCT,1,200,0.0,10.0,Narrow-Wing Butterfly
2026-06-29,2026-07-06,741.0,2026-07-24,33xO:SPY260724C00739000 | -66xO:SPY260724C00741000 | 33xO:SPY260724C00743000,495.0,8910.0,8415.0,TP_200PCT,33,200,0.0,495.0,Narrow-Wing Butterfly
2026-07-06,2026-07-08,751.28,2026-07-31,100xO:SPY260731C00749000 | -200xO:SPY260731C00751000 | 100xO:SPY260731C00753000,500.0,3100.0,2600.0,TP_200PCT,100,200,0.0,500.0,Narrow-Wing Butterfly
2026-07-13,2026-08-05,749.17,2026-08-07,14xO:SPY260807C00747000 | -28xO:SPY260807C00749000 | 14xO:SPY260807C00751000,476.0,-490.0,-966.0,EXPIRY_FLATTEN,14,200,0.0,476.0,Narrow-Wing Butterfly
2026-07-20,2026-08-05,742.09,2026-08-14,1xO:SPY260814C00740000 | -2xO:SPY260814C00742000 | 1xO:SPY260814C00744000,-67.0,-103.0,-36.0,EXPIRY_FLATTEN,1,200,0.0,67.0,Narrow-Wing Butterfly
